feat_ID,RT,Compound,H-MA_1,H-MA_2,H-MA_3,H-M-EC_1,H-M-EC_2,H-M-EC_3,H-M-T5_1,H-M-T5_2,H-M-T5_3,H-N-GE-WS_1,H-N-GE-WS_2,H-N-GE-WS_3,H-WI_1,H-WI_2,H-WI_3,C-MA_1,C-MA_2,C-MA_3,C-M-EC_1,C-M-EC_2,C-M-EC_3,C-M-T5_1,C-M-T5_2,C-M-T5_3,C-N-GE-WS_1,C-N-GE-WS_2,C-N-GE-WS_3,C-WI_1,C-WI_2,C-WI_3,Odour,Key Odorant,LRI Exp,LRI Teo,Delta_LRI,CAS_ID,InChIKey,SMILES,class_results,superclass_results,pathway_results,isglycoside
11,20.56,Mock_Compound_11,0.0,39492856.15,0.0,1859541.055,0.0,27883668.32,1386318.055,0.0,0.0,0.0,29460371.56,553730.7413,0.0,54572504.65,0.0,119504769.2,707472.2261,1696598.562,41567395.82,0.0,0.0,994033.7684,140716322.9,53586232.71,0.0,0.0,0.0,77403094.14,78827117.18,1198894.546,floral,,1308,1316,8,157-67-7,9U2XI6NFY5NGOD-3G6FNI5L9M-A,,,,,
12,35.37,Mock_Compound_12,92703296.84,117781745.0,1056840.529,0.0,0.0,0.0,67716799.98,0.0,0.0,0.0,691215.2586,0.0,28594997.91,197889157.7,91464186.72,99285054.0,0.0,982351.1983,97720996.48,571444.8154,1258371.601,0.0,1882745.521,0.0,1228527.294,0.0,199032607.9,1386033.053,91767745.23,724352.2243,cocoa,,1001,1010,9,104-51-5,02UK53V4H0B7J5-CYUDJ1D6MA-P,,,,,
13,39.97,Mock_Compound_13,0.0,0.0,87524346.88,62863064.1,0.0,0.0,117493283.4,29706508.64,702521.3072,74743244.56,183490663.1,30664520.49,97489386.96,1712645.768,36801216.14,0.0,98472861.29,92424843.84,35491102.47,162979945.5,1657902.38,1697527.571,49168564.59,0.0,93794344.38,1452454.959,0.0,0.0,96924172.02,1857413.996,cocoa,,2248,2247,1,157-96-2,LTJTPFPC24QAYY-HBDEKZ87LI-M,,,,,
14,13.83,Mock_Compound_14,727479.6847,0.0,1912502.262,34541316.96,819605.2674,130077794.9,1962325.364,76105378.83,94828389.62,991935.9297,0.0,99235010.04,148718734.3,78494238.94,191991906.6,1835600.972,59819714.69,0.0,187854392.7,1513001.182,0.0,54973729.31,0.0,0.0,174914468.1,59653662.45,35657237.06,0.0,0.0,0.0,fermented,X,1495,1501,6,78-41-4,Z93ZLKYC2U220N-S11YRE3AL3-O,,,,,
15,34.24,Mock_Compound_15,1849338.875,0.0,0.0,0.0,56761475.17,0.0,1364522.009,0.0,0.0,74018386.13,0.0,60655063.09,0.0,0.0,0.0,1274454.114,682682.1081,0.0,0.0,0.0,0.0,0.0,1464011.085,1227158.045,0.0,1662674.589,0.0,1094035.215,124787468.8,71672739.53,ethereal,,1021,1029,8,180-17-1,ZKIZF8Z3TAXUTA-6PV6NX20I6-U,,,,,
16,4.71,Mock_Compound_16,101800751.8,76101584.82,739523.2155,0.0,26468371.13,961279.9627,81985996.89,0.0,0.0,39014771.34,0.0,39421366.47,73928425.33,0.0,1789654.877,0.0,1992306.72,0.0,0.0,0.0,43431028.56,736934.2022,99761810.68,94624762.22,29742200.71,0.0,107672221.2,1722856.589,161453700.9,47556219.15,fermented,,1176,1171,5,129-89-6,H6PIEMBG37ZOF1-41G5EZKQ86-Z,,,,,
17,36.43,Mock_Compound_17,858642.6725,0.0,0.0,84489432.02,1916177.907,0.0,0.0,555579.3888,969701.4191,92902538.83,85833575.73,118579328.5,1252189.847,0.0,149230560.5,0.0,0.0,0.0,88512000.36,0.0,1741210.32,83929000.37,1621266.43,73055568.2,60406569.23,0.0,0.0,0.0,0.0,1658891.172,ethereal,,1102,1102,0,99-14-0,6B74IC6YDCWI0M-52MS6VAE4L-8,,,,,
18,5.22,Mock_Compound_18,54298951.67,0.0,1464479.267,1686633.281,0.0,0.0,0.0,0.0,0.0,1574803.689,27644618.4,704586.199,174698358.9,1807560.261,174468333.1,162809860.3,0.0,0.0,75637262.2,0.0,0.0,178033721.8,918695.4404,0.0,0.0,0.0,0.0,0.0,87940442.64,38184382.16,fermented,,1611,1604,7,69-90-6,YLHRYKGE4NJS75-FZR7FN5313-M,,,,,
19,2.32,Mock_Compound_19,0.0,1337377.744,62947376.43,745272.0228,64566972.61,0.0,1904569.878,91520326.46,0.0,705788.7538,707267.2901,0.0,0.0,1676177.423,870665.0433,112670682.5,38995067.31,1961380.9,0.0,0.0,1315340.665,0.0,65724993.25,80031842.28,983864.6267,0.0,199428510.3,1033675.148,0.0,72164010.2,cocoa,,2149,2144,5,97-88-0,CNRGRPLCSGKUEW-2847IXH46C-1,,,,,
20,7.66,Mock_Compound_20,0.0,0.0,161283703.2,1452868.636,1307223.064,0.0,0.0,48360732.01,0.0,27658106.76,0.0,701031.6474,0.0,838299.4002,1187941.786,117412927.9,1573787.347,0.0,94075181.0,0.0,1390664.679,0.0,702298.5834,577676.2258,42117255.33,775815.7325,0.0,61428498.0,0.0,46041377.74,floral,X,2157,2158,1,116-25-4,ORO7IXLGV1214A-DPJZPG4GD3-Y,,,,,
21,24.03,Mock_Compound_21,1524831.257,0.0,1687536.379,1031777.783,0.0,607219.3911,0.0,52956810.08,1541593.572,807952.8809,0.0,1053094.457,0.0,0.0,0.0,1213551.421,1082758.277,0.0,0.0,1246486.023,28669711.42,1749678.421,98960581.64,0.0,0.0,192029910.9,0.0,0.0,1763549.114,0.0,floral,,1896,1904,8,104-93-7,IHCVRPZ71IDK9T-R2XC6FB0MX-H,,,,,
22,13.15,Mock_Compound_22,1396731.184,0.0,631570.017,79551847.6,681965.1506,33326923.37,83245820.51,1266465.075,815891.0801,896185.13,0.0,78661737.67,0.0,63057040.06,1012582.759,75021669.57,61659694.35,85017514.47,163154661.5,0.0,52785380.89,85420452.36,1843097.135,633984.2032,567475.052,0.0,45193822.13,37230819.49,77090656.49,1605307.815,ethereal,X,2462,2457,5,127-87-6,J1UDTRW317ZVNL-GEIKDGV8SS-G,,,,,
23,12.16,Mock_Compound_23,0.0,1166302.704,0.0,0.0,529867.9743,524721.8969,1315276.219,1206411.812,0.0,0.0,0.0,0.0,0.0,770150.1052,525641.1726,0.0,0.0,0.0,0.0,0.0,0.0,1448879.574,63890452.55,50696222.98,0.0,622202.7953,1846024.946,851269.1437,0.0,1080047.557,ethereal,,1920,1911,9,131-98-4,MR6PVS3S1AEDBL-O8TYZNC01W-Y,,,,,
24,20.63,Mock_Compound_24,915249.6748,0.0,195504266.7,67197783.96,747831.9598,1912349.444,144798634.0,35406556.09,0.0,89954127.94,0.0,175725547.8,0.0,99618395.41,0.0,638951.0141,0.0,0.0,1665299.916,1042094.062,0.0,1440674.341,0.0,155989775.8,0.0,1590342.384,917119.4423,67417989.25,1259783.998,93207643.09,ethereal,,808,813,5,97-44-4,PBQFLODSX76J7Y-R4Z8G1U6VV-E,,,,,
25,5.8,Mock_Compound_25,98118508.39,0.0,45804865.01,82245101.07,1474346.363,56493599.68,1471095.893,0.0,1667403.537,0.0,1255446.441,1045325.708,1029295.782,93672493.64,1174123.085,1003211.052,60994931.92,1811044.88,1501330.662,0.0,54576098.74,1632323.33,1789855.461,0.0,0.0,0.0,1096969.003,730395.0595,0.0,0.0,chemical,X,2377,2371,6,108-97-1,VIFKLX3HVM664C-BXF9SO7YPL-2,,,,,
26,25.3,Mock_Compound_26,0.0,1497261.768,896404.6345,0.0,1370567.946,0.0,0.0,28049378.28,1226307.12,0.0,108824838.2,0.0,973902.858,0.0,0.0,48875610.4,0.0,1578011.87,785136.9036,656283.4686,0.0,984354.1587,1724833.815,1726125.768,0.0,820898.4769,0.0,0.0,0.0,85651412.22,ethereal,X,2001,1991,10,84-68-6,6KC4QAV1ZT24P6-F7T37T4AMM-U,,,,,
27,37.9,Mock_Compound_27,1729277.485,1805924.651,0.0,0.0,0.0,0.0,79833350.15,0.0,0.0,168261378.6,0.0,1744191.013,90258423.91,743061.9534,0.0,0.0,59617332.77,0.0,0.0,0.0,811272.5761,0.0,1894336.497,89174987.06,0.0,795764.0258,99661775.43,0.0,1788549.389,142621796.6,waxy,,1813,1812,1,99-43-7,66CDRM9XTC7X3R-G00GOY5NH5-4,,,,,
28,3.77,Mock_Compound_28,1091010.729,0.0,1365533.033,92855316.99,0.0,0.0,1850547.776,0.0,31757329.23,91910560.37,1696689.722,0.0,0.0,0.0,899548.2758,0.0,0.0,0.0,0.0,998881.9398,87639805.78,85449771.15,569812.2553,0.0,42848398.15,0.0,673847.3735,0.0,0.0,31990360.15,cocoa,,1207,1211,4,124-45-2,INWB0SOWO8I5T8-HP2QER7GKH-X,,,,,
29,27.66,Mock_Compound_29,30094342.64,0.0,0.0,752397.6396,953474.9367,29557151.88,95917039.9,185963439.6,74527243.12,675111.4204,0.0,0.0,39320686.61,61450021.95,0.0,942509.6044,1859032.055,0.0,37934447.41,0.0,1137835.371,0.0,0.0,0.0,0.0,0.0,1462193.652,1335662.531,1574602.822,918183.0513,chemical,X,1798,1791,7,185-10-8,OTF11N9RV5V382-LL73BQ4Z04-6,,,,,
30,4.53,Mock_Compound_30,1042691.575,0.0,29734623.56,0.0,1276959.87,1993030.147,76725552.34,1748417.931,1305329.276,37516938.98,0.0,0.0,1361796.603,128798034.5,34057763.05,183509014.7,554668.3378,176309688.5,1071686.247,97746001.14,60155013.36,0.0,0.0,196757803.4,82382456.59,0.0,0.0,0.0,133416012.9,0.0,waxy,,1911,1916,5,177-33-5,50GIX7F6Q7P9XS-HQ9JKC1L1C-1,,,,,
31,12.56,Mock_Compound_31,0.0,773456.954,65971211.15,893860.7643,67542247.21,1034133.941,60821442.52,26920027.83,0.0,91390420.46,1940078.712,31545302.3,60308746.75,546881.5578,143121326.1,1945561.185,0.0,63825629.0,0.0,0.0,1231242.691,0.0,0.0,56411059.51,0.0,0.0,1606363.416,0.0,0.0,0.0,floral,X,2459,2452,7,106-51-3,Z15PDCGYR1NP7L-EIBKN3URKD-T,,,,,
32,31.0,Mock_Compound_32,797055.0434,72482318.38,1818579.43,0.0,0.0,0.0,0.0,0.0,1432821.095,0.0,0.0,77958562.09,148342786.8,0.0,0.0,0.0,951555.7514,0.0,45128476.99,0.0,163111599.6,1173203.559,1670112.215,27074536.24,0.0,1986315.516,682238.2817,0.0,0.0,41827380.79,waxy,,988,980,8,144-23-0,1ZCU33Q0U2DAOV-8SK4HMIQ67-9,,,,,
33,20.34,Mock_Compound_33,1532791.411,28528156.84,0.0,49904741.42,0.0,0.0,95431509.97,1182806.172,1013654.746,526126.5507,0.0,0.0,96398519.07,0.0,0.0,831788.6419,0.0,0.0,613226.3796,0.0,1336115.929,638417.5103,0.0,58442051.71,919488.3714,70365136.97,657536.3268,1389788.215,651073.9897,872769.3832,cocoa,X,2182,2188,6,179-49-2,L93V2WSJNRCSDW-2MQCWWI50R-3,,,,,
34,33.95,Mock_Compound_34,165891426.0,0.0,0.0,0.0,0.0,0.0,71831892.57,1714928.739,1536503.642,0.0,0.0,137237776.6,1993306.694,0.0,0.0,0.0,1201299.892,67118231.09,31929107.7,80736050.88,1285747.863,511417.3067,0.0,43477140.11,52725555.65,0.0,0.0,0.0,556718.1199,944125.3854,floral,X,1661,1660,1,71-21-1,X1SLJH6KU4KGU2-ITEZ2YJSBL-C,,,,,
35,20.35,Mock_Compound_35,0.0,35732731.28,63687514.76,123919430.1,0.0,87227011.8,0.0,0.0,61924583.26,1140103.607,0.0,61333953.24,0.0,0.0,0.0,0.0,35141524.71,0.0,33796384.21,0.0,68955035.62,96221834.22,0.0,0.0,0.0,548828.6649,1571206.366,1604829.468,0.0,505481.0118,cocoa,X,937,944,7,104-55-3,IHZRT4MF6PMYA4-FPSXEK2MTM-C,,,,,
36,27.1,Mock_Compound_36,0.0,1460532.413,1126012.864,0.0,0.0,56462620.57,0.0,1765666.498,0.0,0.0,1993722.675,1287278.307,1472904.235,0.0,1646344.757,1813667.542,138807073.0,0.0,706832.3033,1174489.929,97093857.27,43380998.19,33639354.79,1699034.192,0.0,0.0,183986243.6,0.0,62580957.14,0.0,floral,,1874,1876,2,163-56-3,HRYVFUR08P21EM-TX5MI4ZV0H-Q,,,,,
37,27.96,Mock_Compound_37,0.0,1528151.419,1960198.08,659094.2602,0.0,1899198.369,150754832.0,0.0,43173224.11,1771253.999,0.0,0.0,0.0,0.0,0.0,0.0,88787007.62,109994244.3,0.0,53093380.76,112472803.1,0.0,505529.063,0.0,980125.2083,0.0,0.0,0.0,0.0,0.0,fermented,,1187,1183,4,183-48-1,C84ICBWWLQB3R3-D01TQIGH65-U,,,,,
38,9.38,Mock_Compound_38,46316747.79,1374348.634,32524150.87,0.0,1449966.467,1197177.622,839140.6969,0.0,0.0,0.0,992510.8156,0.0,59401703.68,0.0,0.0,1596361.857,660988.4694,27135716.36,0.0,922807.2306,0.0,0.0,1011947.093,0.0,0.0,0.0,145153497.1,0.0,0.0,0.0,fermented,X,1503,1510,7,192-34-3,845ZQDVULWYW5A-68YTTMOM4S-G,,,,,
39,37.77,Mock_Compound_39,1820145.94,112114785.8,1937787.147,0.0,125061177.0,195073746.4,1707784.966,661531.0726,85687397.37,88793646.74,1183177.437,0.0,1227448.068,0.0,72229249.99,0.0,41238122.07,52904167.05,95591477.63,1461865.558,1710452.756,1334661.513,0.0,0.0,1863881.975,1945074.614,71232315.71,737570.6626,1751353.917,191603553.5,floral,X,1087,1079,8,174-48-3,M4EZJURA832LUN-V14AR3S9IC-B,,,,,
40,7.48,Mock_Compound_40,0.0,0.0,0.0,1288134.738,0.0,755089.9353,63430475.65,0.0,1186320.782,0.0,32896348.48,1739673.264,73502923.36,0.0,0.0,0.0,0.0,1741031.832,0.0,1362615.6,0.0,0.0,573177.2888,0.0,1340908.083,1264095.164,0.0,159001033.0,82982540.68,1131910.062,cocoa,X,1693,1688,5,175-50-3,U2OUITUXCMXMWO-YZLE27KRDL-4,,,,,
41,2.51,Mock_Compound_41,50018637.25,910648.2046,80329751.09,1975375.491,928719.0759,0.0,196210445.8,1442240.6,0.0,0.0,45610511.28,32228919.53,0.0,534085.7622,97241773.06,0.0,0.0,39699791.79,607598.7529,29282941.13,1892576.607,0.0,1875312.586,74634743.39,0.0,78329212.0,1205339.743,0.0,94677391.31,86485164.7,ethereal,,1876,1884,8,73-91-1,18SVMYGV2Z9H0X-GZEX0R3KUZ-7,,,,,
42,18.69,Mock_Compound_42,1106741.858,64513557.28,1594670.035,63629216.49,44658509.47,59916608.09,0.0,49589722.04,0.0,0.0,60563033.83,0.0,984009.8998,1601664.57,1378747.081,0.0,0.0,0.0,0.0,0.0,0.0,181458180.4,0.0,0.0,0.0,0.0,96359504.37,99781558.3,160256792.7,1278978.696,cocoa,X,1756,1759,3,161-22-4,R3DMVOBUK72M95-4GVZ6KYUOC-1,,,,,
43,1.89,Mock_Compound_43,0.0,0.0,1060486.623,59255805.9,0.0,33741791.72,0.0,0.0,1641307.27,71752144.27,918988.5904,0.0,1391278.615,50560361.94,59342586.25,0.0,0.0,593079.6158,1108715.824,0.0,76849288.85,1700905.594,177348124.0,1989196.879,0.0,176406051.3,872802.2089,0.0,0.0,0.0,ethereal,,1910,1908,2,52-94-6,2YQAXPU6QU0A8T-3LSVFTHH2A-K,,,,,
44,30.19,Mock_Compound_44,97876976.67,117813783.1,0.0,1610752.809,174929384.6,941184.4051,1551795.251,0.0,0.0,0.0,0.0,0.0,73543027.61,0.0,40178187.59,193455039.7,0.0,624916.8914,0.0,76239239.84,630064.56,0.0,1445895.931,0.0,0.0,0.0,0.0,0.0,0.0,185847102.6,cocoa,,870,871,1,182-82-6,M7FK5S63PGE4IN-ZVG9VY3OZQ-7,,,,,
45,22.35,Mock_Compound_45,551442.9612,0.0,725724.4152,139974120.9,43110657.97,0.0,0.0,98894972.11,0.0,72052042.82,124200294.9,0.0,0.0,70138258.57,41046877.29,80571996.88,158285717.3,0.0,80218215.92,1872590.568,51658427.94,825201.0641,0.0,1557470.387,0.0,38197280.98,97468087.54,0.0,49498847.73,1559091.351,cocoa,,2074,2078,4,168-30-7,OLV08J2DK8AO8R-W9C9EFDKT3-D,,,,,
46,36.63,Mock_Compound_46,1342809.308,0.0,0.0,1903426.97,1196243.641,0.0,1617404.503,1179902.803,0.0,1024771.416,1544475.129,0.0,88686871.19,0.0,129902046.7,913465.0572,0.0,0.0,0.0,0.0,1739600.601,72579295.94,0.0,721689.6286,1190822.621,0.0,0.0,112919770.0,1891641.349,0.0,waxy,,1143,1139,4,105-38-6,VCINGD5YO21TDW-6H4QZYRUTE-R,,,,,
47,5.64,Mock_Compound_47,27986373.69,634733.6415,726819.8031,628150.5767,0.0,39365054.93,0.0,0.0,36180557.38,51399815.52,0.0,0.0,68957225.32,0.0,957516.2099,0.0,0.0,736495.7182,76303222.12,0.0,731431.6817,0.0,1721920.067,1149611.435,59179454.77,0.0,0.0,0.0,790883.1639,57236595.21,ethereal,,1886,1891,5,105-53-7,4ES8XU8T3WH1HS-E70L8D0KTJ-3,,,,,
48,34.43,Mock_Compound_48,45881639.0,89846014.37,0.0,0.0,0.0,67973981.64,67331366.29,60626319.62,1205731.508,0.0,0.0,47900232.82,610899.0998,169647415.2,1063694.821,0.0,54877322.83,1061902.339,1953180.027,0.0,75281826.0,58931542.39,1887131.725,0.0,93788842.46,0.0,0.0,0.0,0.0,0.0,fermented,X,2144,2146,2,150-57-2,9WZVSDGS6S9DTS-IJV4L9E6QH-O,,,,,
49,18.11,Mock_Compound_49,0.0,0.0,0.0,44933777.47,709663.9223,0.0,47202594.3,164288186.2,0.0,40496531.44,53314229.61,1600871.186,86897483.93,98410336.5,38891360.77,1658372.118,0.0,110603027.6,0.0,104099121.1,0.0,45707927.56,146309130.6,47635677.19,628981.6945,709148.1004,69667455.84,60141626.18,0.0,1988031.999,cocoa,,1470,1474,4,187-90-2,8UG0H8NO4VOFY1-S55Q2BXKEL-H,,,,,
50,7.99,Mock_Compound_50,71180460.17,80581563.36,1949725.985,1038362.498,0.0,1349683.685,1837788.74,35676743.1,86744596.75,88980665.33,0.0,0.0,59908135.92,1432262.776,0.0,84826718.23,0.0,82161353.52,0.0,57577439.06,0.0,0.0,1971077.395,1518771.773,1166430.219,80649218.03,0.0,72660325.12,1706845.597,1920938.048,chemical,X,1939,1929,10,194-18-1,6SV4YUUY64W0Z2-0195P80X7N-Z,,,,,
