Samples,Mock_Compound_2,Mock_Compound_3,Mock_Compound_8,Mock_Compound_14,Mock_Compound_20,Mock_Compound_22,Mock_Compound_25,Mock_Compound_26,Mock_Compound_29,Mock_Compound_31,Mock_Compound_33,Mock_Compound_34,Mock_Compound_35,Mock_Compound_38,Mock_Compound_39,Mock_Compound_40,Mock_Compound_42,Mock_Compound_48,Mock_Compound_50
H-WI_2,0.0,30858591.53,115797048.7,78494238.94,838299.4002,63057040.06,93672493.64,0.0,61450021.95,546881.5578,0.0,0.0,0.0,0.0,0.0,0.0,1601664.57,169647415.2,1432262.776
H-WI_3,0.0,0.0,34225182.78,191991906.6,1187941.786,1012582.759,1174123.085,0.0,0.0,143121326.1,0.0,0.0,0.0,0.0,72229249.99,0.0,1378747.081,1063694.821,0.0
C-MA_1,81629560.22,0.0,778871.2595,1835600.972,117412927.9,75021669.57,1003211.052,48875610.4,942509.6044,1945561.185,831788.6419,0.0,0.0,1596361.857,0.0,0.0,0.0,0.0,84826718.23
C-MA_2,1188056.75,0.0,0.0,59819714.69,1573787.347,61659694.35,60994931.92,0.0,1859032.055,0.0,0.0,1201299.892,35141524.71,660988.4694,41238122.07,0.0,0.0,54877322.83,0.0
C-MA_3,0.0,0.0,95364900.67,0.0,0.0,85017514.47,1811044.88,1578011.87,0.0,63825629.0,0.0,67118231.09,0.0,27135716.36,52904167.05,1741031.832,0.0,1061902.339,82161353.52
C-M-EC_1,0.0,0.0,973821.3424,187854392.7,94075181.0,163154661.5,1501330.662,785136.9036,37934447.41,0.0,613226.3796,31929107.7,33796384.21,0.0,95591477.63,0.0,0.0,1953180.027,0.0
C-M-EC_2,1670265.254,1178677.123,52465850.2,1513001.182,0.0,0.0,0.0,656283.4686,0.0,0.0,0.0,80736050.88,0.0,922807.2306,1461865.558,1362615.6,0.0,0.0,57577439.06
C-M-EC_3,55854766.11,900290.8946,0.0,0.0,1390664.679,52785380.89,54576098.74,0.0,1137835.371,1231242.691,1336115.929,1285747.863,68955035.62,0.0,1710452.756,0.0,0.0,75281826.0,0.0
C-M-T5_1,0.0,1763818.335,0.0,54973729.31,0.0,85420452.36,1632323.33,984354.1587,0.0,0.0,638417.5103,511417.3067,96221834.22,0.0,1334661.513,0.0,181458180.4,58931542.39,0.0
C-M-T5_2,1564993.47,0.0,791772.4017,0.0,702298.5834,1843097.135,1789855.461,1724833.815,0.0,0.0,0.0,0.0,0.0,1011947.093,0.0,573177.2888,0.0,1887131.725,1971077.395
C-M-T5_3,93178137.11,0.0,57729033.49,0.0,577676.2258,633984.2032,0.0,1726125.768,0.0,56411059.51,58442051.71,43477140.11,0.0,0.0,0.0,0.0,0.0,0.0,1518771.773
C-N-GE-WS_1,0.0,75766003.69,45567026.19,174914468.1,42117255.33,567475.052,0.0,0.0,0.0,0.0,919488.3714,52725555.65,0.0,0.0,1863881.975,1340908.083,0.0,93788842.46,1166430.219
C-N-GE-WS_2,699739.8858,88820213.86,63834317.7,59653662.45,775815.7325,0.0,0.0,820898.4769,0.0,0.0,70365136.97,0.0,548828.6649,0.0,1945074.614,1264095.164,0.0,0.0,80649218.03
C-N-GE-WS_3,60112316.15,41429572.11,0.0,35657237.06,0.0,45193822.13,1096969.003,0.0,1462193.652,1606363.416,657536.3268,0.0,1571206.366,145153497.1,71232315.71,0.0,96359504.37,0.0,0.0
C-WI_1,72793288.68,187695354.5,652427.3415,0.0,61428498.0,37230819.49,730395.0595,0.0,1335662.531,0.0,1389788.215,0.0,1604829.468,0.0,737570.6626,159001033.0,99781558.3,0.0,72660325.12
C-WI_2,0.0,737673.6144,94200568.57,0.0,0.0,77090656.49,0.0,0.0,1574602.822,0.0,651073.9897,556718.1199,0.0,0.0,1751353.917,82982540.68,160256792.7,0.0,1706845.597
C-WI_3,0.0,1483467.134,77072669.75,0.0,46041377.74,1605307.815,0.0,85651412.22,918183.0513,0.0,872769.3832,944125.3854,505481.0118,0.0,191603553.5,1131910.062,1278978.696,0.0,1920938.048
